Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Villeray-Saint-Michel-Parc-Extension,Montréal,Montréal,Montréal,Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montréal Borough,145000,0
Westmount,Montréal,Montréal,Montréal,Westmount,Westmount,Montréal Borough,20000,0
Shawinigan,Shawinigan,Shawinigan,Mauricie,Shawinigan,Shawinigan,Municipality,50000,1
Trois-Rivières,Trois-Rivières,Trois-Rivières,Mauricie,Trois-Rivières,Trois-Rivières,Municipality,135000,0
La Tuque,La Tuque,La Tuque,Mauricie,"[La Tuque,Mékinac,Les Chenaux]","La Tuque, Mékinac & Les Chenaux",Regional County Municipality (RCM),40000,0
Saint-Tite,Saint-Tite,Mékinac,Mauricie,"[La Tuque,Mékinac,Les Chenaux]","La Tuque, Mékinac & Les Chenaux",Regional County Municipality (RCM),40000,0
Notre-Dame-du-Mont-Carmel,Notre-Dame-du-Mont-Carmel,Les Chenaux,Mauricie,"[La Tuque,Mékinac,Les Chenaux]","La Tuque, Mékinac & Les Chenaux",Regional County Municipality (RCM),40000,0
Louiseville,Louiseville,Maskinongé,Mauricie,Maskinongé (MRC),Maskinongé,Regional County Municipality (RCM),35000,0
Lavaltrie,Lavaltrie,D'Autray,Lanaudière,D'Autray,D'Autray,Regional County Municipality (RCM),40000,0
L'Assomption,L'Assomption,L'Assomption,Lanaudière,L'Assomption (MRC),L'Assomption,Regional County Municipality (RCM),125000,0
Repentigny,Repentigny,L'Assomption,Lanaudière,L'Assomption (MRC),L'Assomption,Regional County Municipality (RCM),125000,0
Joliette,Joliette,Joliette,Lanaudière,Joliette (MRC),Joliette,Regional County Municipality (RCM),65000,0
Rawdon,Rawdon,Matawinie,Lanaudière,Matawinie,Matawinie,Regional County Municipality (RCM),50000,0
Saint-Calixte,Saint-Calixte,Montcalm,Lanaudière,Montcalm,Montcalm,Regional County Municipality (RCM),50000,1
Terrebonne,Terrebonne,Les Moulins,Lanaudière,Les Moulins,Les Moulins,Regional County Municipality (RCM),160000,0
Mascouche,Mascouche,Les Moulins,Lanaudière,Les Moulins,Les Moulins,Regional County Municipality (RCM),160000,0
Gatineau,Gatineau,Gatineau,Outaouais,Gatineau,Gatineau,Municipality,280000,0
Campbell's Bay,Campbell's Bay,Pontiac,Outaouais,"[La Vallée-de-la-Gatineau,Pontiac]",Pontiac & La Vallée-de-la-Gatineau,Regional County Municipality (RCM),35000,0
Gracefield,Gracefield,La Vallée-de-la-Gatineau,Outaouais,"[La Vallée-de-la-Gatineau,Pontiac]",Pontiac & La Vallée-de-la-Gatineau,Regional County Municipality (RCM),35000,0
Cantley,Cantley,Les Collines-de-l'Outaouais,Outaouais,"[Les Collines-de-l'Outaouais,Papineau]",Papineau & Les Collines-de-l'Outaouais,Regional County Municipality (RCM),60000,0
Papineauville,Papineauville,Papineau,Outaouais,"[Les Collines-de-l'Outaouais,Papineau]",Papineau & Les Collines-de-l'Outaouais,Regional County Municipality (RCM),60000,0
Amos,Amos,Abitibi,Abitibi-Témiscamingue,Abitibi-Témiscamingue,Abitibi-Témiscamingue,Administative Region,150000,0
Lachute,Lachute,Argenteuil,Laurentides,Argenteuil,Argenteuil,Regional County Municipality (RCM),30000,0
Saint-Sauveur,Saint-Sauveur,Les Pays-d'en-Haut,Laurentides,Les Pays-d'en-Haut,Les Pays-d'en-Haut,Regional County Municipality (RCM),40000,0
Mont-Tremblant,Mont-Tremblant,Les Laurentides,Laurentides,Les Laurentides,Les Laurentides,Regional County Municipality (RCM),45000,0
Mont-Laurier,Mont-Laurier,Antoine-Labelle,Laurentides,Antoine-Labelle,Antoine-Labelle,Regional County Municipality (RCM),35000,2
